HWs,CPU,Mem,Netz
HW 90,49,35954,1022
HW 91,19,37807,912
HW 92,22,6899,2271
HW 93,20,46772,3834
HW 94,9,605,4200
HW 95,20,21936,4590
HW 96,31,44276,2488
HW 97,19,47803,659
HW 98,25,6176,506
HW 99,49,10533,235
HW 100,15,43394,2093
HW 101,36,30354,656
HW 102,17,46866,3869
HW 103,13,15610,3433
HW 104,45,21680,542
HW 105,6,40611,91
HW 106,9,7832,303
HW 107,37,19291,1566
HW 108,11,31456,3218
HW 109,10,35454,2229
HW 110,22,22773,1583
HW 111,37,44250,4823
HW 112,22,21368,3732
HW 113,49,39401,2524
HW 114,26,35127,1667
HW 115,41,25013,3925
HW 116,5,7984,3383
HW 117,15,17667,4353
HW 118,40,36133,4589
HW 119,44,14412,466
HW 120,46,39184,1235
HW 121,30,40664,3354
HW 122,41,24107,2100
HW 123,44,11546,4269
HW 124,26,16991,3593
HW 125,34,13428,933
HW 126,32,42634,1770
HW 127,29,4230,4921
HW 128,15,645,2533
HW 129,19,21188,1738
HW 130,40,10883,1700
HW 131,34,30335,1587
HW 132,1,31072,4378
HW 133,40,49795,823
HW 134,24,6967,1407
HW 135,4,28469,1394
HW 136,25,5492,829
HW 137,31,26874,3900
HW 138,46,5162,4812
HW 139,46,19190,2065
HW 140,34,35589,2660
HW 141,20,46418,3458
HW 142,21,49859,594
HW 143,15,33413,4101
HW 144,43,44634,3585
HW 145,49,36058,4613
HW 146,11,23432,2500
HW 147,30,34766,1634
HW 148,32,48050,93
HW 149,48,2481,2384
HW 150,38,31607,2458
HW 151,9,17483,4140
HW 152,5,18194,1671
HW 153,14,46376,1622
HW 154,1,38617,2613
HW 155,47,925,3457
HW 156,16,7631,4941
HW 157,35,23868,2066
HW 158,43,35201,3583
HW 159,23,35996,2047
HW 160,39,45865,4822
HW 161,22,46695,3992
HW 162,22,15566,477
HW 163,35,37615,4161
HW 164,8,32295,856
HW 165,34,8356,4588
HW 166,2,24623,289
HW 167,35,10955,1469
HW 168,48,23296,2374
HW 169,1,48116,1629
HW 170,20,14183,4493
HW 171,28,47418,3880
HW 172,13,3484,2127
HW 173,41,19077,4123
HW 174,12,16406,3674
HW 175,13,29265,4648
HW 176,40,40704,4493
HW 177,38,10601,4478
HW 178,26,4553,2158
HW 179,37,49414,1408
HW 180,16,845,1255
HW 181,7,39049,3288
HW 182,22,15033,4570
HW 183,43,25285,1641
HW 184,31,42439,364
HW 185,42,14225,1127
HW 186,31,899,3304
HW 187,3,12513,2031
HW 188,31,21927,935
HW 189,17,12031,1756
HW 190,9,25274,810
HW 191,30,6102,1462
HW 192,4,18699,1055
HW 193,48,36575,2837
HW 194,8,33690,3560
HW 195,4,2902,1835
HW 196,5,34345,3788
HW 197,37,37489,3753
HW 198,37,17042,462
HW 199,35,40434,4573
HW 200,41,33119,1008
HW 201,28,10347,219
HW 202,45,41757,2334
HW 203,13,22752,3563
HW 204,28,20345,4430
HW 205,49,49932,2304
HW 206,31,30841,937
HW 207,24,44558,2428
HW 208,40,2430,3403
HW 209,25,47625,1073
HW 210,13,28741,831
HW 211,1,29838,313
HW 212,40,36241,4724
HW 213,14,25408,4344
HW 214,35,24423,117
HW 215,7,11159,972
HW 216,47,6917,818
HW 217,4,29901,4131
HW 218,49,40704,1890
HW 219,49,40222,4649
HW 220,3,21684,4297
HW 221,37,20418,2082
HW 222,46,23698,1902
HW 223,16,39501,1311
HW 224,2,22868,3935
HW 225,23,25337,4685
HW 226,4,34259,4663
HW 227,23,28634,1927
HW 228,2,6230,4670
HW 229,15,11034,2224
HW 230,27,3525,4839
HW 231,37,37820,1964
HW 232,43,30737,2243
HW 233,31,7299,4372
HW 234,8,17027,3416
HW 235,12,3724,2897
HW 236,24,23153,1579
HW 237,22,12484,931
HW 238,6,36439,3730
HW 239,15,31331,3388
HW 240,45,15237,1944
HW 241,23,10688,3592
HW 242,32,4788,976
HW 243,18,47805,1890
HW 244,4,2979,1346
HW 245,19,21983,3636
HW 246,1,9917,369
HW 247,15,21754,1714
HW 248,24,36050,2545
HW 249,40,25097,1309
HW 250,17,2128,3614
HW 251,1,23259,3141
HW 252,5,31694,3363
HW 253,26,40089,82
HW 254,5,25255,813
HW 255,40,6761,4870
HW 256,43,10396,4841
HW 257,9,36297,3243
HW 258,37,25950,366
HW 259,48,10241,4076
HW 260,2,21090,2063
HW 261,28,38340,1219
HW 262,25,3662,2836
HW 263,11,30222,528
HW 264,28,11148,4249
HW 265,46,40103,675
HW 266,24,3668,1099
HW 267,36,2834,589
HW 268,17,1205,2928
HW 269,15,3470,810
HW 270,1,37637,3479
HW 271,41,46680,1562
HW 272,17,46716,4720
HW 273,39,15125,3394
HW 274,12,40414,3827
HW 275,3,3302,660
HW 276,29,7329,3414
HW 277,2,948,884
HW 278,30,38226,2832
HW 279,29,45924,944
HW 280,12,1405,4682
HW 281,49,3427,1498
HW 282,1,12114,3063
HW 283,23,16592,3831
HW 284,10,46521,849
HW 285,20,13144,1397
HW 286,29,41240,1465
HW 287,21,46076,4266
HW 288,37,27468,2742
HW 289,42,10629,2069
HW 290,4,3747,2239
HW 291,11,9728,377
HW 292,15,41113,668
HW 293,32,19875,732
HW 294,48,48022,149
HW 295,6,26087,4320
HW 296,47,42545,2092
HW 297,44,49468,2960
HW 298,38,24645,4461
HW 299,32,13257,218
HW 300,8,9154,4558
HW 301,41,1607,4892
HW 302,30,38854,1781
HW 303,15,31033,3418
HW 304,19,48726,3860
HW 305,16,13343,2188
HW 306,15,45147,2133
HW 307,37,4374,2887
HW 308,31,4252,4369
HW 309,36,8094,4530
HW 310,27,9578,1650
HW 311,1,46122,394
HW 312,40,1921,845
HW 313,20,28861,2681
HW 314,33,11462,2225
HW 315,28,23904,1100
HW 316,16,49789,3863
HW 317,49,47725,169
HW 318,23,44527,3466
HW 319,13,47798,459
HW 320,1,22770,4372
HW 321,41,48923,3378
HW 322,48,8065,215
HW 323,40,41761,1761
HW 324,29,14949,1653
HW 325,47,15343,2237
HW 326,48,1349,4786
HW 327,10,2850,2351
HW 328,31,2794,3214
HW 329,15,10356,3923
HW 330,2,49468,1981
HW 331,26,48049,4427
HW 332,11,42541,4921
HW 333,23,38828,3796
HW 334,32,45809,1746
HW 335,45,48919,3459
HW 336,19,21996,4810
HW 337,1,42626,1455
HW 338,7,45700,4167
HW 339,4,9452,3577
HW 340,46,1062,4753
HW 341,13,37193,75
HW 342,24,37155,4262
HW 343,44,2301,4862
HW 344,19,6631,238
HW 345,16,26650,4231
HW 346,41,48333,4804
HW 347,23,43055,2213
HW 348,30,45968,172
HW 349,41,45494,189
HW 350,28,27136,4078
HW 351,2,1451,4460
HW 352,11,18345,654
HW 353,20,15236,3089
HW 354,33,46387,2215
HW 355,40,22247,626
HW 356,4,37617,4232
HW 357,44,24301,2656
HW 358,46,48253,4344
HW 359,17,7079,2625
HW 360,5,28404,4171
HW 361,12,39162,2989
HW 362,6,43949,1477
HW 363,32,41863,367
HW 364,1,25838,1729
HW 365,48,34027,2584
HW 366,3,29340,594
HW 367,29,42238,1075
HW 368,13,43223,3384
HW 369,10,35439,3132
HW 370,49,13856,3968
HW 371,15,32194,4740
HW 372,31,23587,4407
HW 373,27,16865,4660
HW 374,16,39043,4308
HW 375,3,18306,1882
HW 376,20,9893,11
HW 377,32,46753,405
HW 378,42,34255,1780
HW 379,24,24040,3382
HW 380,16,4662,718
HW 381,35,41633,2295
HW 382,19,20302,1435
HW 383,1,5257,4813
HW 384,38,42942,4364
HW 385,24,3640,2136
HW 386,42,27391,23
HW 387,35,29425,4721
HW 388,21,22921,3490
HW 389,30,29272,4560
HW 390,25,41406,4542
HW 391,7,17122,2432
HW 392,16,26008,3611
HW 393,7,13391,427
HW 394,30,32458,1293
HW 395,26,15150,1392
HW 396,6,12978,91
HW 397,41,39294,3781
HW 398,46,1723,3489
HW 399,17,46037,3646
HW 400,2,4667,4054
HW 401,24,42228,1537
HW 402,48,6848,2843
HW 403,19,8812,4896
HW 404,20,44834,930
HW 405,27,9941,2904
HW 406,14,42673,783
HW 407,45,40773,2630
HW 408,1,49107,3871
HW 409,2,39765,79
HW 410,41,12627,3221
HW 411,34,39446,2088
HW 412,4,17397,3378
HW 413,13,7330,3016
HW 414,9,27044,4010
HW 415,27,38153,1317
HW 416,24,27864,4057
HW 417,14,17282,4019
HW 418,31,7583,1407
HW 419,23,27442,2276
HW 420,46,38360,4463
HW 421,12,1361,2637
HW 422,38,12231,4003
HW 423,46,18252,4877
HW 424,23,46332,1512
HW 425,17,3836,2722
HW 426,48,22677,2736
HW 427,24,876,10
HW 428,41,400,1908
HW 429,49,48661,1648
HW 430,36,5486,3642
HW 431,34,16778,885
HW 432,33,16260,4499
HW 433,26,16727,1550
HW 434,15,20238,2118
HW 435,4,27912,4831
HW 436,40,26150,4375
HW 437,30,25328,3988
HW 438,7,1761,3443
HW 439,9,40525,4092
HW 440,8,34943,1936
HW 441,28,45346,2746
HW 442,1,39729,1343
HW 443,33,17416,653
HW 444,15,16906,2983
HW 445,37,14767,4475
HW 446,13,17233,1334
HW 447,22,44317,10
HW 448,38,15316,4236
HW 449,25,9932,3604
HW 450,1,428,3497
HW 451,41,2443,3383
HW 452,2,2542,2462
HW 453,8,18371,1395
HW 454,31,44102,281
HW 455,36,40316,1678
HW 456,49,20671,4661
HW 457,30,19256,4183
HW 458,4,42858,3761
HW 459,34,33723,2046
HW 460,20,2580,1508
HW 461,36,19337,2706
HW 462,37,14735,3647
HW 463,11,23108,446
HW 464,11,20198,1401
HW 465,19,13756,3042
HW 466,46,3300,2131
HW 467,30,22822,4603
HW 468,48,20880,3205
HW 469,43,42378,4990
HW 470,43,25757,4458
HW 471,18,6469,2474
HW 472,34,44067,1847
HW 473,21,43147,751
HW 474,14,28223,4825
HW 475,31,37103,1054
HW 476,46,8917,2581
HW 477,1,14616,533
HW 478,29,35160,962
HW 479,43,30189,4361
HW 480,35,29261,1774
HW 481,35,40036,2184
HW 482,25,47979,2405
HW 483,1,11152,2631
HW 484,14,45094,4650
HW 485,37,45416,4128
HW 486,25,8030,2140
HW 487,41,7879,2197
HW 488,45,9867,3393
HW 489,1,13552,4816
HW 490,42,41578,3908
HW 491,7,1804,2148
HW 492,6,40069,2536
HW 493,45,5450,2503
HW 494,43,48965,3075
HW 495,36,49138,4772
HW 496,12,18042,2491
HW 497,49,49526,1549
HW 498,4,36899,2488
HW 499,8,26432,1802
HW 500,23,40536,1494
HW 501,1,47748,471
HW 502,14,21786,1322
HW 503,5,1991,2867
HW 504,36,24362,1126
HW 505,49,16241,2788
HW 506,5,3164,4365
HW 507,30,36630,995
HW 508,17,16441,950
HW 509,1,26023,4186
HW 510,34,19606,1692
HW 511,25,23988,2810
HW 512,33,8760,3583
HW 513,39,37273,3775
HW 514,46,5010,4103
HW 515,29,41956,2987
HW 516,5,29077,2875
HW 517,2,28039,3122
HW 518,9,10862,3089
HW 519,11,2872,3730
HW 520,22,15777,4568
HW 521,15,5448,4436
HW 522,9,49993,490
HW 523,15,10870,420
HW 524,15,40034,1096
HW 525,18,4290,3646
HW 526,26,49383,2318
HW 527,15,10204,4193
HW 528,14,10321,4845
HW 529,35,24444,209
HW 530,26,23874,3556
HW 531,3,38525,1052
HW 532,24,33455,2378
HW 533,19,34769,3308
HW 534,9,49090,1005
HW 535,3,33853,159
HW 536,21,12656,783
HW 537,2,27046,3635
HW 538,19,20501,4498
HW 539,2,33551,1229
HW 540,30,36558,1367
HW 541,9,39105,1215
HW 542,34,36408,3035
HW 543,35,47738,2432
HW 544,45,3832,537
HW 545,45,31600,2678
HW 546,31,35643,1543
HW 547,20,38490,924
HW 548,11,35894,2739
HW 549,5,47827,1116
HW 550,2,5972,1160
HW 551,35,39739,3048
HW 552,36,5256,810
HW 553,1,10665,3035
HW 554,10,6597,1027
HW 555,29,11016,396
HW 556,31,49292,140
HW 557,30,15045,64
HW 558,43,17723,2682
HW 559,39,31148,1283
HW 560,44,48627,4426
HW 561,25,8409,2933
HW 562,26,41917,4217
HW 563,46,5609,4773
HW 564,8,25962,2759
HW 565,2,15311,1779
HW 566,31,35973,357
HW 567,43,33591,1198
HW 568,45,14946,175
HW 569,19,5756,152
HW 570,2,48086,1653
HW 571,30,7810,4120
HW 572,44,9706,1617
HW 573,14,29933,80
HW 574,34,23529,927
HW 575,11,1790,3938
HW 576,34,33795,2642
HW 577,28,44812,2273
HW 578,41,22485,3034
HW 579,7,35723,2808
HW 580,8,12706,3929
HW 581,11,40522,4012
HW 582,20,16455,4938
HW 583,41,3081,4182
HW 584,41,46622,986
HW 585,16,36601,2398
HW 586,32,44478,1934
HW 587,20,35897,3230
HW 588,35,9845,106
HW 589,35,10045,2537
HW 590,16,17567,2729
HW 591,25,37082,1452
HW 592,28,219,1886
HW 593,1,38624,3838
HW 594,31,8955,863
HW 595,5,13256,184
HW 596,16,26030,4256
HW 597,20,44146,2901
HW 598,19,9242,2765
HW 599,19,1410,3208
HW 600,17,49120,3113
HW 601,27,1268,3518
HW 602,16,9179,3465
HW 603,11,47196,3471
HW 604,11,1464,265
HW 605,26,38027,3072
HW 606,17,48623,4702
HW 607,47,11837,2905
HW 608,23,8122,455
HW 609,46,44592,82
HW 610,11,38255,1866
HW 611,41,8535,2526
HW 612,48,32342,1797
HW 613,29,26642,4837
HW 614,10,20818,839
HW 615,18,47805,2461
HW 616,7,8641,1943
HW 617,43,39509,3969
HW 618,29,41069,3458
HW 619,12,4430,3139
HW 620,47,46923,807
HW 621,27,18497,463
HW 622,14,38164,868
HW 623,7,6665,4806
HW 624,14,25119,4608
HW 625,1,29890,2924
HW 626,10,11030,2648
HW 627,24,40930,2562
HW 628,12,39447,406
HW 629,45,5816,2011
HW 630,39,36156,1062
HW 631,11,12580,3445
HW 632,23,185,224
HW 633,39,44609,2720
HW 634,40,38453,4338
HW 635,15,5306,588
HW 636,21,46843,4160
HW 637,40,6346,3705
HW 638,35,29112,308
HW 639,49,38446,2238
HW 640,16,9784,2759
HW 641,20,11062,4068
HW 642,46,29913,2180
HW 643,33,32811,372
HW 644,12,15711,181
HW 645,8,4594,3949
HW 646,48,1179,1646
HW 647,49,11769,4801
HW 648,46,21992,1489
HW 649,46,44173,2969
HW 650,16,30409,863
HW 651,6,35007,4097
HW 652,29,19516,4577
HW 653,10,22733,4887
HW 654,1,20745,4202
HW 655,4,37872,4238
HW 656,49,15714,10
HW 657,15,47414,3004
HW 658,28,42681,2985
HW 659,20,29328,4749
HW 660,46,48473,121
HW 661,2,13994,3605
HW 662,39,28861,1673
HW 663,26,36333,120
HW 664,10,37989,2557
HW 665,24,24865,4301
HW 666,18,502,2257
HW 667,18,22005,1600
HW 668,13,7073,2212
HW 669,16,33777,370
HW 670,19,14742,4774
HW 671,1,49067,910
HW 672,39,41108,481
HW 673,24,15840,186
HW 674,26,15295,1098
HW 675,10,9015,3174
HW 676,23,16717,488
HW 677,41,6286,500
HW 678,42,3953,1285
HW 679,2,40931,1244
HW 680,1,3248,2627
HW 681,39,26088,3758
HW 682,31,27897,1869
HW 683,13,22201,2780
HW 684,5,33413,652
HW 685,34,16942,2767
HW 686,47,47344,3617
HW 687,36,26265,4787
HW 688,25,48853,58
HW 689,19,42110,2880
HW 690,10,9822,2296
HW 691,46,10206,2905
HW 692,20,3005,2383
HW 693,32,23354,3418
HW 694,8,11342,31
HW 695,46,17263,4554
HW 696,31,47448,1441
HW 697,27,27609,3345
HW 698,27,20844,1847
HW 699,41,6378,1029
HW 700,49,38887,398
HW 701,16,40123,1224
HW 702,40,32663,1929
HW 703,42,2567,3924
HW 704,39,32118,1862
HW 705,43,13588,1194
HW 706,24,42242,2094
HW 707,33,48281,678
HW 708,20,19666,2017
HW 709,32,15249,145
HW 710,7,13051,855
HW 711,39,26990,2745
HW 712,47,41348,4039
HW 713,21,6135,1455
HW 714,8,17549,335
HW 715,48,25978,2763
HW 716,35,16739,814
HW 717,38,28417,2501
HW 718,9,42115,126
HW 719,10,5766,4232
HW 720,34,450,2126
HW 721,46,48404,1777
HW 722,12,45129,2012
HW 723,17,48721,3521
HW 724,23,24239,2201
HW 725,13,3936,1764
HW 726,5,48860,2225
HW 727,43,19215,4593
HW 728,4,21268,4593
HW 729,11,35826,722
HW 730,1,29429,3686
HW 731,47,32198,1611
HW 732,1,26311,3027
HW 733,11,43599,348
HW 734,41,44989,4369
HW 735,9,46241,3549
HW 736,43,11390,3883
HW 737,38,46068,1701
HW 738,39,10230,4616
HW 739,26,20994,3181
HW 740,1,49183,3538
HW 741,31,47245,4001
HW 742,45,35571,911
HW 743,36,7539,208
HW 744,14,46573,1820
HW 745,20,7761,4803
HW 746,10,1750,1198
HW 747,42,23406,4959
HW 748,11,7993,1283
HW 749,14,1290,696
HW 750,6,35150,2463
HW 751,18,1926,4949
HW 752,32,22582,978
HW 753,4,44531,15
HW 754,12,35913,4819
HW 755,39,48257,1670
HW 756,21,20831,2815
HW 757,1,28006,3118
HW 758,2,39897,2906
HW 759,4,31688,4274
HW 760,33,15172,3480
HW 761,10,43344,1578
HW 762,29,16644,4867
HW 763,13,45878,361
HW 764,43,24950,261
HW 765,42,818,134
HW 766,32,18871,1675
HW 767,42,25341,1791
HW 768,35,39402,4928
HW 769,25,8692,4473
HW 770,42,4504,4963
HW 771,19,17876,413
HW 772,16,42620,1118
HW 773,25,43388,3859
HW 774,44,49992,4991
HW 775,12,28708,4780
HW 776,3,12018,2457
HW 777,2,26656,285
HW 778,23,13515,1661
HW 779,9,22860,4316
HW 780,7,6584,851
HW 781,25,42776,194
HW 782,23,38801,923
HW 783,1,47702,2006
HW 784,28,33088,2096
HW 785,15,25345,942
HW 786,10,14507,1161
HW 787,18,17767,519
HW 788,19,17560,4140
HW 789,28,19427,1951
HW 790,26,20603,4445
HW 791,19,38729,4735
HW 792,42,15623,1922
HW 793,37,30758,74
HW 794,2,1820,810
HW 795,1,36936,898
HW 796,17,18775,1873
HW 797,3,9280,4939
HW 798,41,9064,4881
HW 799,47,5094,4118
HW 800,42,4380,3713
HW 801,18,29579,2985
HW 802,26,42704,3410
HW 803,5,23566,1664
HW 804,42,34973,2202
HW 805,44,25756,3643
HW 806,30,16867,4400
HW 807,27,20309,4381
HW 808,36,37570,2070
HW 809,38,12930,2491
HW 810,23,41242,3623
HW 811,32,40735,2763
HW 812,1,35867,275
HW 813,40,31911,4343
HW 814,24,36494,2458
HW 815,11,11720,2514
HW 816,17,17668,1219
HW 817,11,37616,4114
HW 818,38,11143,1984
HW 819,14,1601,2081
HW 820,29,46488,2478
HW 821,15,15521,4816
HW 822,35,31733,2338
HW 823,29,330,1380
HW 824,24,20048,955
HW 825,18,3863,382
HW 826,33,14236,3319
HW 827,48,20946,2008
HW 828,4,39412,2265
HW 829,27,22367,982
HW 830,33,2995,2191
HW 831,25,5221,4438
HW 832,34,30649,4450
HW 833,31,11102,227
HW 834,31,34001,2579
HW 835,6,2708,2172
HW 836,48,6290,933
HW 837,31,15506,2120
HW 838,44,2017,4237
HW 839,34,33486,1501
HW 840,1,16380,1889
HW 841,40,15792,732
HW 842,41,15968,2375
HW 843,7,40655,3402
HW 844,45,18682,2918
HW 845,31,40794,2517
HW 846,23,34048,2018
HW 847,10,39056,1233
HW 848,45,44486,141
HW 849,46,27835,4718
HW 850,37,19336,2741
HW 851,17,21842,4226
HW 852,2,627,1462
HW 853,45,41436,3683
HW 854,36,48096,1859
HW 855,43,46323,2291
HW 856,44,29567,4937
HW 857,24,44578,3921
HW 858,31,36626,4901
HW 859,24,35005,2470
HW 860,7,47925,1731
HW 861,39,26830,2487
HW 862,42,28332,950
HW 863,15,46965,1321
HW 864,34,49484,3273
HW 865,1,33946,3757
HW 866,23,722,2062
HW 867,3,48533,753
HW 868,38,41583,4737
HW 869,21,13492,1857
HW 870,21,12224,679
HW 871,3,40860,2231
HW 872,20,33839,4989
HW 873,3,40728,1910
HW 874,1,11124,1528
HW 875,4,35178,952
HW 876,20,15392,1636
HW 877,33,18326,1892
HW 878,17,23496,142
HW 879,5,4498,2417
HW 880,21,41265,3752
HW 881,16,2519,4256
HW 882,46,23762,3637
HW 883,34,33141,3934
HW 884,20,100,4264
HW 885,4,47009,523
HW 886,27,20494,966
HW 887,12,32778,2890
HW 888,14,4212,3908
HW 889,26,24372,2852
HW 890,46,11184,4321
HW 891,43,45689,2118
HW 892,3,29108,3974
HW 893,24,32779,4087
HW 894,8,23051,854
HW 895,48,12608,481
HW 896,45,32458,908
HW 897,7,23659,2002
HW 898,38,12487,4301
HW 899,30,43945,3680
HW 900,2,3243,2144
HW 901,35,43378,4438
HW 902,35,43422,4505
HW 903,2,49176,1553
HW 904,30,29053,4274
HW 905,14,19175,4631
HW 906,16,4796,4205
HW 907,34,100,3447
HW 908,27,24416,1919
HW 909,13,36449,467
HW 910,44,9401,1806
HW 911,14,28325,2915
HW 912,49,34891,3340
HW 913,1,1008,2472
HW 914,1,40640,1128
HW 915,40,40048,1806
HW 916,11,20783,2043
HW 917,27,6135,3144
HW 918,49,30170,4458
HW 919,18,10901,1854
HW 920,27,30654,2196
HW 921,8,30198,4819
HW 922,19,8071,3418
HW 923,34,19508,4169
HW 924,49,48267,4867
HW 925,5,26175,4465
HW 926,37,18006,3428
HW 927,10,17493,3492
HW 928,35,37294,1588
HW 929,25,29702,1818
HW 930,37,32837,1706
HW 931,27,35102,4818
HW 932,31,15951,1868
HW 933,38,7254,1918
HW 934,12,41396,882
HW 935,36,24448,4881
HW 936,18,18814,1713
HW 937,23,40705,4571
HW 938,47,4471,475
HW 939,35,709,175
HW 940,11,45273,1277
HW 941,8,48889,1337
HW 942,32,47675,1510
HW 943,37,4576,1526
HW 944,23,3510,1134
HW 945,5,30775,531
HW 946,42,20616,673
HW 947,34,26851,2816
HW 948,8,35514,3650
HW 949,11,28627,2276
HW 950,3,5747,4379
HW 951,20,8427,3280
HW 952,3,2427,3278
HW 953,43,2914,3936
HW 954,1,6421,162
HW 955,43,5873,3784
HW 956,10,20513,2471
HW 957,31,33819,1258
HW 958,17,31997,2736
HW 959,25,44545,2775
HW 960,36,16211,3235
HW 961,21,17006,2285
HW 962,28,28364,31
HW 963,11,17501,2005
HW 964,39,14088,3134
HW 965,4,3749,4533
HW 966,43,24970,396
HW 967,13,29605,844
HW 968,24,34080,3818
HW 969,24,47696,1096
HW 970,28,34305,1039
HW 971,18,31900,877
HW 972,37,4109,4887
HW 973,18,12395,3214
HW 974,33,46898,4624
HW 975,42,41819,4594
HW 976,31,41126,1098
HW 977,25,15221,446
HW 978,2,14136,728
HW 979,20,49904,3323
HW 980,40,17706,1579
HW 981,41,34587,4904
HW 982,19,2673,1672
HW 983,25,23517,91
HW 984,45,12655,885
HW 985,34,38216,3034
HW 986,26,37846,2971
HW 987,23,32548,2892
HW 988,37,42544,3299
HW 989,30,843,2197
HW 990,44,29338,2352
HW 991,41,41295,2814
HW 992,8,36775,3871
HW 993,25,20023,4769
HW 994,45,40343,3000
HW 995,4,34564,4683
HW 996,4,1651,2256
HW 997,2,8652,4664
HW 998,23,21702,1325
HW 999,4,24642,329
HW 1000,8,18946,3381
